90	30
91	29
92	340
93	502
94	570
95	622
96	660
97	707
98	764
99	6212
100	6936
101	7702
102	8319
103	8657
104	9048
105	9279
106	10274
107	11401
108	12818
109	14094
110	16216
111	18440
112	19103
113	18315
114	17818
115	18708
116	20914
117	23654
118	25460
119	29082
120	33944
121	42549
122	49555
123	50431
124	43666
125	38705
126	39417
127	43100
128	48239
129	53683
130	62692
131	76480
132	96680
133	117098
134	123104
135	116315
136	112214
137	122734
138	147501
139	176021
140	199441
141	208725
142	209543
143	208376
144	211551
145	215727
146	219431
147	230823
148	248821
149	271566
150	288817
151	299724
152	307646
153	306952
154	308370
155	327669
156	358453
157	392582
158	425552
159	453943
160	472999
161	489146
162	524462
163	599914
164	712077
165	790449
166	782403
167	717719
168	644965
169	573506
170	511862
171	463441
172	430667
173	415409
174	408534
175	395398
176	373155
177	338107
178	297799
179	256816
180	222599
181	192827
182	171641
183	155107
184	143280
185	134289
186	126911
187	117798
188	108307
189	97524
190	86348
191	76709
192	67823
193	60689
194	55830
195	51412
196	48211
197	45890
198	43649
199	41487
200	38561
201	35248
202	32355
203	29737
204	27271
205	25402
206	23753
207	22519
208	21212
209	19970
210	18932
211	17487
212	15989
213	14669
214	13249
215	12358
216	11466
217	10747
218	10252
219	9784
220	9201
221	8766
222	8191
223	7435
224	7039
225	6440
226	6376
227	5736
228	5682
229	5723
230	5556
231	5662
232	5355
233	4840
234	874
235	868
236	842
237	787
